dataset,model_a,model_b,cliffs_delta,abs_delta,effect_size,direction
synonym_setB,pubmedbert-base-embeddings,ClinicalBERT,0.1021,0.1021,negligible,pubmedbert-base-embeddings > ClinicalBERT
synonym_setB,ClinicalBERT,all-MiniLM-L6-v2,-0.0998,0.0998,negligible,all-MiniLM-L6-v2 > ClinicalBERT
synonym_setB,ETE3,ClinicalBERT,-0.0981,0.0981,negligible,ClinicalBERT > ETE3
synonym_setB,multilingual-e5-large,all-mpnet-base-v2-bioasq-matryoshka,0.0979,0.0979,negligible,multilingual-e5-large > all-mpnet-base-v2-bioasq-matryoshka
synonym_setB,e5-large-v2,all-MiniLM-L6-v2,0.0963,0.0963,negligible,e5-large-v2 > all-MiniLM-L6-v2
synonym_setB,pubmedbert-base-embeddings,e5-large-v2,-0.0939,0.0939,negligible,e5-large-v2 > pubmedbert-base-embeddings
synonym_setB,all-mpnet-base-v2-bioasq-matryoshka,ClinicalBERT,0.0866,0.0866,negligible,all-mpnet-base-v2-bioasq-matryoshka > ClinicalBERT
synonym_setB,multilingual-e5-large,all-MiniLM-L6-v2,0.0847,0.0847,negligible,multilingual-e5-large > all-MiniLM-L6-v2
synonym_setB,e5-small-v2,all-mpnet-base-v2-bioasq-matryoshka,0.084,0.084,negligible,e5-small-v2 > all-mpnet-base-v2-bioasq-matryoshka
synonym_setB,pubmedbert-base-embeddings,multilingual-e5-large,-0.0824,0.0824,negligible,multilingual-e5-large > pubmedbert-base-embeddings
synonym_setB,BM25,e5-large-v2,-0.0821,0.0821,negligible,e5-large-v2 > BM25
synonym_setB,bge-base-en-v1.5,e5-large-v2,-0.0777,0.0777,negligible,e5-large-v2 > bge-base-en-v1.5
synonym_setB,S-PubMedBert-MS-MARCO,all-mpnet-base-v2,0.0769,0.0769,negligible,S-PubMedBert-MS-MARCO > all-mpnet-base-v2
synonym_setB,BioS-MiniLM,S-PubMedBert-MS-MARCO,-0.072,0.072,negligible,S-PubMedBert-MS-MARCO > BioS-MiniLM
synonym_setB,e5-small-v2,all-MiniLM-L6-v2,0.0708,0.0708,negligible,e5-small-v2 > all-MiniLM-L6-v2
synonym_setB,BM25,multilingual-e5-large,-0.0706,0.0706,negligible,multilingual-e5-large > BM25
synonym_setB,pubmedbert-base-embeddings,e5-small-v2,-0.0684,0.0684,negligible,e5-small-v2 > pubmedbert-base-embeddings
synonym_setB,ClinicalBERT,BioS-MiniLM,-0.0668,0.0668,negligible,BioS-MiniLM > ClinicalBERT
synonym_setB,Bio_ClinicalBERT,ClinicalBERT,-0.0666,0.0666,negligible,ClinicalBERT > Bio_ClinicalBERT
synonym_setB,bge-base-en-v1.5,multilingual-e5-large,-0.0661,0.0661,negligible,multilingual-e5-large > bge-base-en-v1.5
synonym_setB,ClinicalBERT,all-mpnet-base-v2,-0.0619,0.0619,negligible,all-mpnet-base-v2 > ClinicalBERT
synonym_setB,RapidFuzz,SapBERT-from-PubMedBERT-fulltext,0.0615,0.0615,negligible,RapidFuzz > SapBERT-from-PubMedBERT-fulltext
synonym_setB,e5-large-v2,S-PubMedBert-MS-MARCO,0.0573,0.0573,negligible,e5-large-v2 > S-PubMedBert-MS-MARCO
synonym_setB,BM25,e5-small-v2,-0.0567,0.0567,negligible,e5-small-v2 > BM25
synonym_setB,bge-base-en-v1.5,all-mpnet-base-v2,0.0564,0.0564,negligible,bge-base-en-v1.5 > all-mpnet-base-v2
synonym_setB,RapidFuzz,ClinicalBERT,-0.0562,0.0562,negligible,ClinicalBERT > RapidFuzz
synonym_setB,all-mpnet-base-v2-bioasq-matryoshka,S-PubMedBert-MS-MARCO,-0.0522,0.0522,negligible,S-PubMedBert-MS-MARCO > all-mpnet-base-v2-bioasq-matryoshka
synonym_setB,bge-base-en-v1.5,e5-small-v2,-0.0522,0.0522,negligible,e5-small-v2 > bge-base-en-v1.5
synonym_setB,BM25,all-mpnet-base-v2,0.052,0.052,negligible,BM25 > all-mpnet-base-v2
synonym_setB,bge-base-en-v1.5,BioS-MiniLM,0.0516,0.0516,negligible,bge-base-en-v1.5 > BioS-MiniLM
synonym_setB,SapBERT-from-PubMedBERT-fulltext,Bio_ClinicalBERT,-0.0512,0.0512,negligible,Bio_ClinicalBERT > SapBERT-from-PubMedBERT-fulltext
synonym_setB,BM25,BioS-MiniLM,0.0472,0.0472,negligible,BM25 > BioS-MiniLM
synonym_setB,multilingual-e5-large,S-PubMedBert-MS-MARCO,0.0457,0.0457,negligible,multilingual-e5-large > S-PubMedBert-MS-MARCO
synonym_setB,ETE3,RapidFuzz,-0.0419,0.0419,negligible,RapidFuzz > ETE3
synonym_setB,pubmedbert-base-embeddings,all-mpnet-base-v2,0.0402,0.0402,negligible,pubmedbert-base-embeddings > all-mpnet-base-v2
synonym_setB,S-PubMedBert-MS-MARCO,all-MiniLM-L6-v2,0.039,0.039,negligible,S-PubMedBert-MS-MARCO > all-MiniLM-L6-v2
synonym_setB,all-MiniLM-L6-v2,all-mpnet-base-v2,0.0379,0.0379,negligible,all-MiniLM-L6-v2 > all-mpnet-base-v2
synonym_setB,pubmedbert-base-embeddings,S-PubMedBert-MS-MARCO,-0.0366,0.0366,negligible,S-PubMedBert-MS-MARCO > pubmedbert-base-embeddings
synonym_setB,pubmedbert-base-embeddings,BioS-MiniLM,0.0354,0.0354,negligible,pubmedbert-base-embeddings > BioS-MiniLM
synonym_setB,BioS-MiniLM,all-MiniLM-L6-v2,-0.0331,0.0331,negligible,all-MiniLM-L6-v2 > BioS-MiniLM
synonym_setB,e5-small-v2,S-PubMedBert-MS-MARCO,0.0318,0.0318,negligible,e5-small-v2 > S-PubMedBert-MS-MARCO
synonym_setB,bge-base-en-v1.5,all-mpnet-base-v2-bioasq-matryoshka,0.0318,0.0318,negligible,bge-base-en-v1.5 > all-mpnet-base-v2-bioasq-matryoshka
synonym_setB,ETE3,Bio_ClinicalBERT,-0.0316,0.0316,negligible,Bio_ClinicalBERT > ETE3
synonym_setB,BM25,all-mpnet-base-v2-bioasq-matryoshka,0.0274,0.0274,negligible,BM25 > all-mpnet-base-v2-bioasq-matryoshka
synonym_setB,e5-large-v2,e5-small-v2,0.0255,0.0255,negligible,e5-large-v2 > e5-small-v2
synonym_setB,BM25,S-PubMedBert-MS-MARCO,-0.0249,0.0249,negligible,S-PubMedBert-MS-MARCO > BM25
synonym_setB,all-mpnet-base-v2-bioasq-matryoshka,all-mpnet-base-v2,0.0246,0.0246,negligible,all-mpnet-base-v2-bioasq-matryoshka > all-mpnet-base-v2
synonym_setB,bge-base-en-v1.5,S-PubMedBert-MS-MARCO,-0.0204,0.0204,negligible,S-PubMedBert-MS-MARCO > bge-base-en-v1.5
synonym_setB,all-mpnet-base-v2-bioasq-matryoshka,BioS-MiniLM,0.0198,0.0198,negligible,all-mpnet-base-v2-bioasq-matryoshka > BioS-MiniLM
synonym_setB,ETE3,SapBERT-from-PubMedBERT-fulltext,0.0196,0.0196,negligible,ETE3 > SapBERT-from-PubMedBERT-fulltext
synonym_setB,bge-base-en-v1.5,all-MiniLM-L6-v2,0.0185,0.0185,negligible,bge-base-en-v1.5 > all-MiniLM-L6-v2
synonym_setB,bge-base-en-v1.5,pubmedbert-base-embeddings,0.0162,0.0162,negligible,bge-base-en-v1.5 > pubmedbert-base-embeddings
synonym_setB,pubmedbert-base-embeddings,all-mpnet-base-v2-bioasq-matryoshka,0.0156,0.0156,negligible,pubmedbert-base-embeddings > all-mpnet-base-v2-bioasq-matryoshka
synonym_setB,BM25,all-MiniLM-L6-v2,0.0141,0.0141,negligible,BM25 > all-MiniLM-L6-v2
synonym_setB,e5-small-v2,multilingual-e5-large,-0.0139,0.0139,negligible,multilingual-e5-large > e5-small-v2
synonym_setB,all-mpnet-base-v2-bioasq-matryoshka,all-MiniLM-L6-v2,-0.0133,0.0133,negligible,all-MiniLM-L6-v2 > all-mpnet-base-v2-bioasq-matryoshka
synonym_setB,BM25,pubmedbert-base-embeddings,0.0118,0.0118,negligible,BM25 > pubmedbert-base-embeddings
synonym_setB,e5-large-v2,multilingual-e5-large,0.0116,0.0116,negligible,e5-large-v2 > multilingual-e5-large
synonym_setB,RapidFuzz,Bio_ClinicalBERT,0.0103,0.0103,negligible,RapidFuzz > Bio_ClinicalBERT
synonym_setB,BioS-MiniLM,all-mpnet-base-v2,0.0048,0.0048,negligible,BioS-MiniLM > all-mpnet-base-v2
synonym_setB,bge-base-en-v1.5,BM25,0.0044,0.0044,negligible,bge-base-en-v1.5 > BM25
synonym_setB,pubmedbert-base-embeddings,all-MiniLM-L6-v2,0.0023,0.0023,negligible,pubmedbert-base-embeddings > all-MiniLM-L6-v2
